% X-coord, Y-coord, Polarization, wavelength, type, deviceID, params 
-5449, 1213, TE, 1550, device, ring, r13.8, w0.5, g0.164, b50
-4769, 703, TE, 1550, device, ring, r7.4, w0.5, g0.155, b50
-4599, 873, TE, 1550, device, ring, r47.0, w0.5, g0.123, b50
-4939, 1383, TE, 1550, device, ring, r16.7, w0.5, g0.174, b50
-5449, 1043, TE, 1550, device, ring, r29.7, w0.5, g0.129, b50
-5449, 873, TE, 1550, device, ring, r32.5, w0.5, g0.108, b50
-5109, 1043, TE, 1550, device, ring, r7.1, w0.5, g0.178, b50
-4599, 1213, TE, 1550, device, ring, r14.4, w0.5, g0.156, b50
-5449, 1383, TE, 1550, device, ring, r23.1, w0.5, g0.178, b50
-4939, 703, TE, 1550, device, ring, r25.5, w0.5, g0.171, b50
-4939, 1213, TE, 1550, device, ring, r24.6, w0.5, g0.173, b50
-5279, 1553, TE, 1550, device, ring, r12.9, w0.5, g0.136, b50
-5449, 703, TE, 1550, device, ring, r20.3, w0.5, g0.107, b50
-5279, 703, TE, 1550, device, ring, r14.7, w0.5, g0.116, b50
-4769, 873, TE, 1550, device, ring, r28.5, w0.5, g0.173, b50
-5279, 873, TE, 1550, device, ring, r11.3, w0.5, g0.152, b50
-3749, 1043, TE, 1550, device, ring, r48.0, w0.5, g0.121, b50
-4429, 703, TE, 1550, device, ring, r27.1, w0.5, g0.175, b50
-4259, 1383, TE, 1550, device, ring, r40.5, w0.5, g0.103, b50
-4259, 703, TE, 1550, device, ring, r19.7, w0.5, g0.129, b50
-3579, 1553, TE, 1550, device, ring, r39.9, w0.5, g0.157, b50
-3579, 1383, TE, 1550, device, ring, r34.4, w0.5, g0.127, b50
-3579, 1043, TE, 1550, device, ring, r6.4, w0.5, g0.102, b50
-4259, 1553, TE, 1550, device, ring, r32.6, w0.5, g0.179, b50
-4089, 873, TE, 1550, device, ring, r31.5, w0.5, g0.108, b50
-3919, 873, TE, 1550, device, ring, r30.7, w0.5, g0.176, b50
-3919, 1213, TE, 1550, device, ring, r12.8, w0.5, g0.123, b50
-4429, 1553, TE, 1550, device, ring, r29.6, w0.5, g0.134, b50
-4259, 873, TE, 1550, device, ring, r50.0, w0.5, g0.134, b50
-4089, 1213, TE, 1550, device, ring, r47.6, w0.5, g0.163, b50
-4429, 1213, TE, 1550, device, ring, r25.5, w0.5, g0.13, b50
-4429, 1383, TE, 1550, device, ring, r15.5, w0.5, g0.172, b50
-3579, 703, TE, 1550, device, ring, r42.7, w0.5, g0.175, b50
-4089, 1383, TE, 1550, device, ring, r42.7, w0.5, g0.125, b50
-3579, 873, TE, 1550, device, ring, r19.1, w0.5, g0.121, b50
-3919, 1553, TE, 1550, device, ring, r12.0, w0.5, g0.154, b50
-4089, 1043, TE, 1550, device, ring, r9.0, w0.5, g0.144, b50
-4089, 1553, TE, 1550, device, ring, r28.3, w0.5, g0.178, b50
-3749, 1553, TE, 1550, device, ring, r11.5, w0.5, g0.165, b50
-3919, 703, TE, 1550, device, ring, r49.2, w0.5, g0.103, b50
-4429, 873, TE, 1550, device, ring, r23.9, w0.5, g0.16, b50
-4259, 1213, TE, 1550, device, ring, r28.4, w0.5, g0.119, b50
-3749, 1383, TE, 1550, device, ring, r48.4, w0.5, g0.131, b50
-3749, 873, TE, 1550, device, ring, r41.0, w0.5, g0.13, b50
-3749, 1213, TE, 1550, device, ring, r20.6, w0.5, g0.163, b50
-3749, 703, TE, 1550, device, ring, r32.1, w0.5, g0.167, b50
-3919, 1043, TE, 1550, device, ring, r16.6, w0.5, g0.155, b50
-4089, 703, TE, 1550, device, ring, r15.2, w0.5, g0.113, b50
-3579, 1213, TE, 1550, device, ring, r11.8, w0.5, g0.172, b50
-4259, 1043, TE, 1550, device, ring, r12.9, w0.5, g0.141, b50
-3919, 1383, TE, 1550, device, ring, r6.6, w0.5, g0.101, b50
-4429, 1043, TE, 1550, device, ring, r13.0, w0.5, g0.179, b50
-4259, 23, TE, 1550, device, ring, r22.5, w0.5, g0.135, b50
-3579, -316, TE, 1550, device, ring, r34.5, w0.5, g0.15, b50
-4259, 193, TE, 1550, device, ring, r42.8, w0.5, g0.103, b50
-3579, 533, TE, 1550, device, ring, r31.5, w0.5, g0.164, b50
-4089, 23, TE, 1550, device, ring, r36.0, w0.5, g0.138, b50
-4259, -146, TE, 1550, device, ring, r47.2, w0.5, g0.166, b50
-3579, 23, TE, 1550, device, ring, r7.5, w0.5, g0.143, b50
-3749, 363, TE, 1550, device, ring, r24.9, w0.5, g0.105, b50
-4259, -316, TE, 1550, device, ring, r45.4, w0.5, g0.151, b50
-3749, -146, TE, 1550, device, ring, r46.4, w0.5, g0.159, b50
-4429, -316, TE, 1550, device, ring, r7.5, w0.5, g0.176, b50
-3919, 193, TE, 1550, device, ring, r45.6, w0.5, g0.167, b50
-4429, 23, TE, 1550, device, ring, r39.3, w0.5, g0.109, b50
-3919, 23, TE, 1550, device, ring, r28.6, w0.5, g0.174, b50
-3579, -146, TE, 1550, device, ring, r23.8, w0.5, g0.162, b50
-3579, 363, TE, 1550, device, ring, r34.5, w0.5, g0.121, b50
-3919, -316, TE, 1550, device, ring, r5.0, w0.5, g0.141, b50
-4429, 363, TE, 1550, device, ring, r38.6, w0.5, g0.108, b50
-3749, 533, TE, 1550, device, ring, r30.8, w0.5, g0.116, b50
-3919, 533, TE, 1550, device, ring, r16.7, w0.5, g0.12, b50
-4429, -146, TE, 1550, device, ring, r39.3, w0.5, g0.115, b50
-4089, -146, TE, 1550, device, ring, r23.4, w0.5, g0.141, b50
-3749, -316, TE, 1550, device, ring, r14.7, w0.5, g0.177, b50
-4089, 193, TE, 1550, device, ring, r23.8, w0.5, g0.155, b50
-4259, 363, TE, 1550, device, ring, r43.1, w0.5, g0.123, b50
-4429, 193, TE, 1550, device, ring, r40.2, w0.5, g0.111, b50
-4429, 533, TE, 1550, device, ring, r38.5, w0.5, g0.106, b50
-3579, 193, TE, 1550, device, ring, r46.8, w0.5, g0.139, b50
-3919, -146, TE, 1550, device, ring, r15.7, w0.5, g0.166, b50
-4259, 533, TE, 1550, device, ring, r37.9, w0.5, g0.164, b50
-3919, 363, TE, 1550, device, ring, r41.4, w0.5, g0.165, b50
-4089, 363, TE, 1550, device, ring, r46.1, w0.5, g0.132, b50
-4089, 533, TE, 1550, device, ring, r27.1, w0.5, g0.113, b50
-3749, 193, TE, 1550, device, ring, r14.7, w0.5, g0.143, b50
-4089, -316, TE, 1550, device, ring, r23.5, w0.5, g0.109, b50
-3749, 23, TE, 1550, device, ring, r6.1, w0.5, g0.163, b50
-5279, 23, TE, 1550, device, ring, r44.1, w0.5, g0.109, b50
-5109, 23, TE, 1550, device, ring, r19.0, w0.5, g0.105, b50
-4769, 23, TE, 1550, device, ring, r18.4, w0.5, g0.105, b50
-4599, 23, TE, 1550, device, ring, r35.1, w0.5, g0.108, b50
-4939, 193, TE, 1550, device, ring, r12.5, w0.5, g0.149, b50
-5109, 533, TE, 1550, device, ring, r31.3, w0.5, g0.165, b50
-5449, 193, TE, 1550, device, ring, r26.8, w0.5, g0.115, b50
-5109, -146, TE, 1550, device, ring, r26.0, w0.5, g0.105, b50
-5449, 23, TE, 1550, device, ring, r40.6, w0.5, g0.131, b50
-4599, -146, TE, 1550, device, ring, r14.6, w0.5, g0.129, b50
-4939, -146, TE, 1550, device, ring, r24.4, w0.5, g0.143, b50
-4599, 193, TE, 1550, device, ring, r46.9, w0.5, g0.132, b50
-4769, 193, TE, 1550, device, ring, r14.6, w0.5, g0.159, b50
-5279, -316, TE, 1550, device, ring, r18.4, w0.5, g0.107, b50
